timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1359051910755,97,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9302,71
1359051910883,145,Add Item from object,200,OK,Databank group 1-1,text,true,9791,119
1359051911058,156,Add Item from object,200,OK,Databank group 1-1,text,true,10089,121
1359051911348,145,Add Item from object,200,OK,Databank group 1-1,text,true,10352,116
1359051911520,178,Add Item from object,200,OK,Databank group 1-1,text,true,10612,146
1359051911725,59,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,59
1359051911810,100,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,74
1359051911942,124,Add Item from object,200,OK,Databank group 1-1,text,true,9829,95
1359051912104,339,Add Item from object,200,OK,Databank group 1-1,text,true,10091,310
1359051912472,63,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,63
1359051912560,99,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,72
1359051912686,258,Add Item from object,200,OK,Databank group 1-1,text,true,9826,231
1359051912972,52,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,52
1359051913052,93,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,69
1359051913172,264,Add Item from object,200,OK,Databank group 1-1,text,true,9829,237
1359051913469,196,Add Item from object,200,OK,Databank group 1-1,text,true,10091,170
1359051913699,64,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,64
1359051913790,157,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,132
1359051913979,157,Add Item from object,200,OK,Databank group 1-1,text,true,9826,130
1359051914161,66,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,66
1359051914256,96,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,66
1359051914377,134,Add Item from object,200,OK,Databank group 1-1,text,true,9829,106
1359051914540,64,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,64
1359051914636,99,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,73
1359051914775,128,Add Item from object,200,OK,Databank group 1-1,text,true,9829,96
1359051914928,153,Add Item from object,200,OK,Databank group 1-1,text,true,10094,123
1359051915110,65,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,65
1359051915203,91,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,66
1359051915322,146,Add Item from object,200,OK,Databank group 1-1,text,true,9829,115
1359051915505,254,Add Item from object,200,OK,Databank group 1-1,text,true,10091,221
1359051915785,140,Add Item from object,200,OK,Databank group 1-1,text,true,10354,109
1359051915953,59,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,59
1359051916043,97,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,71
1359051916165,400,Add Item from object,200,OK,Databank group 1-1,text,true,9826,372
1359051916691,145,Add Item from object,200,OK,Databank group 1-1,text,true,10088,116
1359051916862,63,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,330,63
1359051916951,106,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9302,79
1359051917083,148,Add Item from object,200,OK,Databank group 1-1,text,true,9827,120
1359051917259,63,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,332,63
1359051917346,97,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,72
1359051917470,259,Add Item from object,200,OK,Databank group 1-1,text,true,9826,226
1359051917754,63,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,63
1359051917844,100,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,74
1359051917968,157,Add Item from object,200,OK,Databank group 1-1,text,true,9826,119
1359051918150,60,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,60
1359051918239,96,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,70
1359051918361,319,Add Item from object,200,OK,Databank group 1-1,text,true,9826,293
1359051918709,62,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,62
1359051918801,236,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,210
1359051919066,150,Add Item from object,200,OK,Databank group 1-1,text,true,9829,123
1359051919248,193,Add Item from object,200,OK,Databank group 1-1,text,true,10091,164
1359051919466,63,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,63
1359051919557,91,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,65
1359051919674,133,Add Item from object,200,OK,Databank group 1-1,text,true,9826,106
1359051919907,64,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,64
1359051920001,101,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,67
1359051920129,214,Add Item from object,200,OK,Databank group 1-1,text,true,9826,185
1359051920371,125,Add Item from object,200,OK,Databank group 1-1,text,true,10089,98
1359051920524,175,Add Item from object,200,OK,Databank group 1-1,text,true,10352,145
1359051920725,62,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,62
1359051920812,93,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,68
1359051920930,134,Add Item from object,200,OK,Databank group 1-1,text,true,9826,106
1359051921092,61,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,61
1359051921188,97,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,72
1359051921310,189,Add Item from object,200,OK,Databank group 1-1,text,true,9826,161
1359051921524,60,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,60
1359051921609,92,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,65
1359051921731,133,Add Item from object,200,OK,Databank group 1-1,text,true,9829,106
1359051921889,55,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,55
1359051921968,95,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,70
1359051922092,147,Add Item from object,200,OK,Databank group 1-1,text,true,9826,118
1359051922270,132,Add Item from object,200,OK,Databank group 1-1,text,true,10089,104
1359051922433,56,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,330,56
1359051922516,96,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9302,71
1359051922638,133,Add Item from object,200,OK,Databank group 1-1,text,true,9824,105
1359051922876,143,Add Item from object,200,OK,Databank group 1-1,text,true,10054,114
1359051923044,374,Add Item from object,200,OK,Databank group 1-1,text,true,10352,344
1359051923443,59,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,59
1359051923527,850,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,822
1359051924411,137,Add Item from object,200,OK,Databank group 1-1,text,true,9826,109
1359051924573,172,Add Item from object,200,OK,Databank group 1-1,text,true,10089,143
1359051924778,65,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,65
1359051924872,93,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,67
1359051924990,145,Add Item from object,200,OK,Databank group 1-1,text,true,9826,117
1359051925159,58,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,58
1359051925243,99,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,74
1359051925366,156,Add Item from object,200,OK,Databank group 1-1,text,true,9829,126
1359051941318,163,Purge test silo,404,Not Found,Databank group 1-1,text,false,331,163
1359051941954,331,Create test silo,200,OK,Databank group 1-1,text,true,24616,250
1359051942434,0,Databank Create test dataset,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 49: http://localhost/jmeter-test/datasets?id=test-1_${nodename},Databank group 1-1,text,false,961,0
1359051942587,0,Add Item from object,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://localhost/jmeter-test/datasets/test-1_${nodename},Databank group 1-1,text,false,957,0
1359051942711,82,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,82
1359051942924,113,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,83
1359051943162,135,Add Item from object,200,OK,Databank group 1-1,text,true,9815,105
1359051943435,153,Add Item from object,200,OK,Databank group 1-1,text,true,10074,123
1359051943757,59,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,59
1359051943923,102,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,74
1359051944174,151,Add Item from object,200,OK,Databank group 1-1,text,true,9812,123
1359051944405,59,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,59
1359051944537,108,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,82
1359051944782,245,Add Item from object,200,OK,Databank group 1-1,text,true,9812,189
1359051945101,59,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,59
1359051945224,135,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,99
1359051945465,373,Add Item from object,200,OK,Databank group 1-1,text,true,9812,345
1359051945887,54,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,54
1359051945984,94,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,64
1359051946119,282,Add Item from object,200,OK,Databank group 1-1,text,true,9812,254
1359051946442,129,Add Item from object,200,OK,Databank group 1-1,text,true,10072,102
1359051946612,52,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,52
1359051946705,107,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,69
1359051946986,200,Add Item from object,200,OK,Databank group 1-1,text,true,9812,172
1359051947239,54,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,54
1359051947330,97,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,72
1359051947462,132,Add Item from object,200,OK,Databank group 1-1,text,true,9812,105
1359051947638,52,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,52
1359051947725,97,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,71
1359051947856,126,Add Item from object,200,OK,Databank group 1-1,text,true,9815,99
1359051948014,146,Add Item from object,200,OK,Databank group 1-1,text,true,10074,109
1359051948195,56,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,56
1359051948282,113,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,89
1359051948426,213,Add Item from object,200,OK,Databank group 1-1,text,true,9815,186
1359051948671,62,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,62
1359051948769,91,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,66
1359051948891,145,Add Item from object,200,OK,Databank group 1-1,text,true,9824,117
1359051949066,55,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,330,55
1359051949154,93,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9302,68
1359051949280,137,Add Item from object,200,OK,Databank group 1-1,text,true,9791,108
1359051949448,64,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,64
1359051949542,96,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,70
1359051949669,148,Add Item from object,200,OK,Databank group 1-1,text,true,9826,117
1359051949848,56,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,56
1359051949933,101,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,75
1359051950066,285,Add Item from object,200,OK,Databank group 1-1,text,true,9826,257
1359051950392,176,Add Item from object,200,OK,Databank group 1-1,text,true,10092,148
1359051950597,54,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,54
1359051950683,97,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,71
1359051950815,125,Add Item from object,200,OK,Databank group 1-1,text,true,9829,97
1359051950968,76,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,76
1359051951076,100,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,74
1359051951205,163,Add Item from object,200,OK,Databank group 1-1,text,true,9826,134
1359051951400,55,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,55
1359051951611,264,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,238
1359051951907,138,Add Item from object,200,OK,Databank group 1-1,text,true,9826,110
1359051952075,133,Add Item from object,200,OK,Databank group 1-1,text,true,10092,104
1359051952239,145,Add Item from object,200,OK,Databank group 1-1,text,true,10354,116
1359051952412,60,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,60
1359051952505,100,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,68
1359051952636,134,Add Item from object,200,OK,Databank group 1-1,text,true,9826,103
1359051952826,139,Add Item from object,200,OK,Databank group 1-1,text,true,10089,112
1359051952993,68,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,68
1359051953088,97,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,70
1359051953213,129,Add Item from object,200,OK,Databank group 1-1,text,true,9826,99
1359051953371,61,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,61
1359051953459,94,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,68
1359051953586,259,Add Item from object,200,OK,Databank group 1-1,text,true,9826,227
1359051953873,140,Add Item from object,200,OK,Databank group 1-1,text,true,10089,110
1359051954041,578,Add Item from object,200,OK,Databank group 1-1,text,true,10352,547
1359051954649,150,Add Item from object,200,OK,Databank group 1-1,text,true,10615,118
1359051954833,144,Add Item from object,200,OK,Databank group 1-1,text,true,10882,113
1359051955006,54,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,54
1359051955093,110,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9302,85
1359051955231,131,Add Item from object,200,OK,Databank group 1-1,text,true,9824,103
1359051955391,56,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,330,56
1359051955482,171,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9269,145
1359051955681,151,Add Item from object,200,OK,Databank group 1-1,text,true,9826,123
1359051955860,139,Add Item from object,200,OK,Databank group 1-1,text,true,10092,106
1359051956031,67,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,67
1359051956128,95,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,71
1359051956250,134,Add Item from object,200,OK,Databank group 1-1,text,true,9826,104
1359051956416,62,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,61
1359051956508,107,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,71
1359051956735,132,Add Item from object,200,OK,Databank group 1-1,text,true,9826,98
1359051956896,56,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,56
1359051956983,95,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,68
1359051957105,132,Add Item from object,200,OK,Databank group 1-1,text,true,9826,105
1359051957268,165,Add Item from object,200,OK,Databank group 1-1,text,true,10089,134
1359051957468,156,Add Item from object,200,OK,Databank group 1-1,text,true,10355,127
1359051957655,62,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,62
1359051957749,106,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9304,80
1359051957883,188,Add Item from object,200,OK,Databank group 1-1,text,true,9826,160
1359051958098,66,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,66
